Address,TokenTracker,Website
 0x3b5070cfc75a546cba5fe8a29f1f3032cd6e0e33,FEG (NITRO),
 0x4fc4633c7ea16949ba93c8d7bc58eb4092d6e996,Crock Finance (CRO),
 0x4e9ce0d15f432a6fdef2e8366edf0b2dec0d0964,SUPR.FINANCE (SUPR),
 0x37cb7b64f8e398fc9b6f7ac2dbcec77a25b385be,Melanin Coin (MELA),
 0xC49fCe8A4211e58F1C891534ae5Db29bea4f1a3a,Arsenic (As),
 0xfdfb685346b4b5551c897688a41484c9259953a1,SUPR.FINANCE (SUPR),
 0xbceefd1102c05d4d5dfc242d26e170caf530fc59,PUMPED.FINANCE (PUMPS),
 0xf2511b5e4fb0e5e2d123004b672ba14850478c14,Nerve 3pool LP (3NRV-LP),
 0x25c8a6d651f62accb9c31793633328b24c9da5ea,unifyre.io (UNI),
 0x5542e519dd92bd95a4294fbfaf33787eddfa49f4,Coda Finance (CODA),
 0x60DE5F9386b637Fe97aF1CC05F25548E9BAAee19,DeepLock (DEEP),
 0x200532c7aecc46a940d0643b7fe826f1de765842,t.me/cops_finance (COPS),
 0x39c6bc7434dbf1a4fd927e0350905a47ca0fa0d3,Deep Finance (DEEP),
 0xd9a565a4f0ba508f468602785ad557b4943265f5,PETALITE.FINANCE (PET),
 0x6d0e1A696C927B8d403144F6bBe3080637488ae7,HonorBar Token (HONOR),
 0xC36649fF473e0a558eC50b0F8ce650940B9BA701,KnightSwap Token (KNIGHT),
 0x702f22C4397c000Aa828F52a0e70B087A6Fe5DD1,Bull Finance (BULL),
 0x636015E62b9dE78D164a48454BaD727Ea3640a60,Offy Delivered LTD (OFFY),
 0xab17fc14a1804b34fd67b67efcc986d425e94e02,NowLiquidity (NLQ),
 0x2ada862d803b8b734b937843f8f76609310f3da7,Gobi Coin (GBC),
 0x0ae95d1645bcd6a85d61ffdb26eaff8c7462d6b7,Meow Token (Meow),
 0x61e09eC57A5fcA440b9F6F024De668dafaA3ffa7,SIGN.NET (SIGN),
 0x178a5bfcbb80db82f54aeba1c7061828ee7046e4,Buffalo Finance (BUFF),http://Buffalo.finance
 0xbdb1c880904b39a009da0c7a12dc9d029c1f1c60,copsfinance.com (COPS),
 0x59834173cf65bac6b3a44079c11e7b613b5c09b6,utile-network.com (UTL),
 0x0e55a51ca10553fd4ae039b26c356bec4dac1a82,Boson Finance (BOS),
 0x832a348bd1e17033a3d1e7a6b9f8d8523f36e2fc,lightningprotocol.finance (LIGHT),
 0x649952bad016b71eb445157239d69590f062bc5f,TESLAFARM.FINANCE (iTesla),
 0xd75ac6c7b745b90f489ab90b13f90b3245e2dc2c,FEDERALDEFIRESERVE (FDR),
 0xc5e938eF604f0c4A816608f1E338556C53F254F7,Gratitude (GRTD),
 0x7704b2eac0c5B6cFb5577C4aEF3Be3ce136364ff,testvault3 (testvault3),
 0x05b4977c30014e2f4086e2d58ea6fff409f62073,BITCOIN (BTCGOLD),
